plot,treatment,depth,mass,type
1,a,20,4.97,SIR
1,a,30,5.01,SIR
1,b,20,5.01,SIR
1,b,30,5,SIR
3,a,20,5,SIR
3,a,30,4.99,SIR
3,b,20,4.99,SIR
3,b,30,5.02,SIR
3,c,20,5,SIR
3,c,30,4.99,SIR
4,a,20,5,SIR
4,a,30,5.01,SIR
4,b,20,4.99,SIR
4,b,30,5.01,SIR
4,c,20,5.02,SIR
4,c,30,5,SIR
6,a,20,5.01,SIR
6,a,30,4.98,SIR
6,b,20,5.02,SIR
6,b,30,5,SIR
6,c,20,5.01,SIR
6,c,30,5.01,SIR
7,a,20,4.99,SIR
7,a,30,5,SIR
7,b,20,4.99,SIR
7,b,30,4.99,SIR
7,c,20,4.98,SIR
7,c,30,4.99,SIR
8,a,20,5,SIR
8,a,30,5,SIR
8,b,20,5.01,SIR
8,b,30,4.99,SIR
8,c,20,5,SIR
8,c,30,5.01,SIR
