date,assay,sample_ID,mass
4/26/2023,exoenzymes,1A_20,2.0018
4/26/2023,exoenzymes,1A_30,2.0169
4/26/2023,exoenzymes,1B_20,2.0131
4/26/2023,exoenzymes,1B_30,1.977
4/26/2023,exoenzymes,3A_20,2.0465
4/26/2023,exoenzymes,3A_30,1.9559
4/26/2023,exoenzymes,3B_20,2.0339
4/26/2023,exoenzymes,3B_30,2.0348
4/26/2023,exoenzymes,3C_20,2.0495
4/26/2023,exoenzymes,3C_30,1.9944
4/26/2023,exoenzymes,4A_20,2.0105
4/26/2023,exoenzymes,4A_30,1.9786
4/26/2023,exoenzymes,4B_20,1.9655
4/26/2023,exoenzymes,4B_30,1.9855
4/26/2023,exoenzymes,4C_20,1.9777
4/26/2023,exoenzymes,4C_30,2.034
4/26/2023,exoenzymes,6A_20,2.01
4/26/2023,exoenzymes,6A_30,1.9929
4/26/2023,exoenzymes,6B_20,1.967
4/26/2023,exoenzymes,6B_30,1.9617
4/26/2023,exoenzymes,6C_20,1.9789
4/26/2023,exoenzymes,6C_30,1.9894
4/26/2023,exoenzymes,7A_20,2.0436
4/26/2023,exoenzymes,7A_30,1.9656
4/26/2023,exoenzymes,7B_20,1.9829
4/26/2023,exoenzymes,7B_30,1.9868
4/26/2023,exoenzymes,7C_20,1.9781
4/26/2023,exoenzymes,7C_30,1.9705
4/26/2023,exoenzymes,8A_20,2.0212
4/26/2023,exoenzymes,8A_30,1.981
4/26/2023,exoenzymes,8B_20,2.0469
4/26/2023,exoenzymes,8B_30,1.9652
4/26/2023,exoenzymes,8C_20,1.9988
4/26/2023,exoenzymes,8C_30,2.0438
