collection_date,plot,treatment,depth,root_dry_mass
4/24/2024,1,a,20,0.601
4/24/2024,1,a,30,0.144
4/24/2024,1,b,20,0.0809
4/24/2024,1,b,30,0.0409
4/24/2024,3,a,20,0.0484
4/24/2024,3,a,30,0.0145
4/24/2024,3,b,20,0.0891
4/24/2024,3,b,30,0.0433
4/24/2024,3,c,20,0.096
4/24/2024,3,c,30,0.0145
4/24/2024,4,a,20,0.118
4/24/2024,4,a,30,0.0168
4/24/2024,4,b,20,0.1479
4/24/2024,4,b,30,0.0381
4/24/2024,4,c,20,0.171
4/24/2024,4,c,30,0.0351
4/24/2024,6,a,20,0.774
4/24/2024,6,a,30,0.0192
4/24/2024,6,b,20,0.2182
4/24/2024,6,b,30,0.0038
4/24/2024,6,c,20,0.1163
4/24/2024,6,c,30,0.0398
4/24/2024,7,a,20,0.1195
4/24/2024,7,a,30,0.034
4/24/2024,7,b,20,0.0753
4/24/2024,7,b,30,0.0092
4/24/2024,7,c,20,0.1374
4/24/2024,7,c,30,0.0039
4/24/2024,8,a,20,0.077
4/24/2024,8,a,30,0.0361
4/24/2024,8,b,20,0.1721
4/24/2024,8,b,30,0.0352
4/24/2024,8,c,20,0.1744
4/24/2024,8,c,30,0.0615
