Slice,Count,Total Area,Average Size,%Area,Mean
8-STPU018.jpg,11,25.503,2.318,4.292,255
8-ERCI019.jpg,173,183801.000,1062.434,2.184,255
8-CLPU015.jpg,115,76343.000,663.852,0.907,255
8-BRHO017.jpg,140,43329.000,309.493,0.515,255
8-BRDI006.jpg,138,230816.000,1672.580,2.743,255
8-AVFA028.jpg,91,690359.000,7586.363,8.204,255
8-AVBA014.jpg,129,260647.000,2020.519,3.097,255
7-ERCI035.jpg,127,220475.000,1736.024,2.620,255
7-CLPU027.jpg,111,67772.000,610.559,0.805,255
7-BRHO011.jpg,149,33990.000,228.121,0.404,255
7-BRDI010.jpg,181,179660.000,992.597,2.135,255
7-AVFA009.jpg,119,377743.000,3174.311,4.489,255
6-ERCI033.jpg,169,161582.000,956.107,1.920,255
6-CLPU031.jpg,101,97103.000,961.416,1.154,255
6-BRHO022.jpg,130,38230.000,294.077,0.454,255
6-BRDI020.jpg,119,256977.000,2159.471,3.054,255
6-AVFA030.jpg,84,821268.000,9777.000,9.760,255
4-LASE025.jpg,49,724941.000,14794.714,8.615,255
4-ERCI032.jpg,155,437766.000,2824.297,5.202,255
4-BRHO012.jpg,111,52123.000,469.577,0.619,255
4-BRDI004.jpg,120,271911.000,2265.925,3.231,255
4-AVFA026.jpg,111,847566.000,7635.730,10.072,255
3-ERCI021.jpg,145,116766.000,805.283,1.388,255
3-BRDI008.jpg,127,318993.000,2511.756,3.791,255
3-AVFA024.jpg,81,854822.000,10553.358,10.158,255
1-UNK1023.jpg,131,35449.000,270.603,0.421,255
1-STPU016.jpg,127,285354.000,2246.882,3.391,255
1-SIBE002.jpg,276,601588.000,2179.667,7.149,255
1-POSE003.jpg,166,95628.000,576.072,1.136,255
1-PLER029.jpg,167,37067.000,221.958,0.440,255
1-LUBI007.jpg,126,202816.000,1609.651,2.410,255
1-DAND034.jpg,83,162386.000,1956.458,1.930,255
1-CLPU013.jpg,98,51753.000,528.092,0.615,255
1-AVBA005.jpg,122,174946.000,1433.984,2.079,255
